OTU_ID,Cd1,Cd2,Cd3,Cd4,Cd5,Cd6,Cd7,Cd8,Cd9,Cd10,Cd11,Cd12,Cd13,Cd14,Cd15,Cd16,Cd17,Cd18,Cd19,Cd20,Cd21,Cd22,Cd23,Cd24,Cd25,Cd26,Cd27,Cd28,Cd29,Cd30
OTU_1496,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1188,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,11
OTU_1347,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1712,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
OTU_2346,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_2006,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,1,1,2,1,1,1,4,0,0,0,0,0,0,0
OTU_607,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1549,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,0,1,3,0,0,0,2,1,2,0,0,0
OTU_1489,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,2,4,2,1,0,0,0,0,0,0,0,0,0,0,1
OTU_2421,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
OTU_1366,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,1,2,2,0,0
OTU_2289,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,3,2,1,2,3,0,0,0,0,0,2,4,0,0,2
OTU_1504,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1233,0,0,0,0,0,1,0,2,2,2,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,1,0,1
OTU_1370,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1335,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,6,2,1,4,1,0,0,1,0,0,0,2,5,2,1
OTU_2238,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_2352,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,1,0,0
OTU_1439,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,2
